181, 0, 0, 0, 0, 0, 0.0
182, 0, 0, 0, 0, 0, 0.0
183, 0, 0, 0, 1, 0, 0.1
184, 12, 20, 0, 4, 11, -1.8
186, 0, 0, 0, 0, 0, 0.0
187, 0, 0, 0, 0, 0, 0.0
189, 0, 0, 0, 0, 0, 0.0
190, 1, 0, 0, 1, 0, -0.1
191, 2, 1, 0, 0, 0, -0.5
192, 21, 29, 21, 16, 14, -2.7
193, 0, 0, 0, 0, 0, 0.0
194, 2, 0, 2, 14, 4, 1.8
195, 14, 31, 16, 14, 14, -1.7
196, 61, 54, 24, 0, 0, -17.6
198, 1, 0, 0, 1, 0, -0.1
199, 0, 0, 2, 0, 0, 0.0
200, 0, 1, 0, 2, 0, 0.1
201, 0, 0, 0, 0, 1, 0.2
202, 0, 0, 3, 0, 0, 0.0
203, 0, 3, 0, 0, 0, -0.3
204, 0, 0, 0, 4, 0, 0.4
205, 0, 0, 0, 2, 0, 0.2
206, 8, 16, 37, 89, 96, 24.9
207, 4, 0, 0, 0, 0, -0.8
208, 0, 0, 1, 1, 1, 0.3
210, 2, 0, 1, 0, 0, -0.4
211, 1, 0, 0, 0, 0, -0.2
212, 291, 333, 53, 29, 6, -87.4
213, 1, 1, 0, 0, 0, -0.3
214, 0, 0, 0, 0, 0, 0.0
215, 0, 0, 0, 0, 0, 0.0
216, 2, 3, 1, 2, 2, -0.1
219, 13, 14, 7, 25, 5, -0.5
220, 10, 2, 1, 6, 6, -0.4
221, 1, 1, 0, 0, 0, -0.3
222, 5, 1, 3, 1, 0, -1.0
223, 0, 0, 0, 1, 0, 0.1
224, 1, 1, 0, 1, 0, -0.2
225, 8, 4, 3, 14, 8, 1.0
226, 0, 0, 0, 0, 0, 0.0
227, 0, 0, 0, 0, 0, 0.0
228, 15, 3, 11, 9, 4, -1.6
229, 4, 1, 2, 1, 0, -0.8
231, 4, 4, 0, 4, 0, -0.8
232, 23, 13, 14, 24, 15, -0.5
233, 0, 1, 2, 0, 0, -0.1
234, 1, 1, 4, 2, 0, -0.1
235, 29, 25, 25, 21, 17, -2.8
236, 35, 26, 24, 37, 25, -0.9
237, 7, 1, 8, 2, 3, -0.7
239, 1, 3, 1, 2, 5, 0.7
240, 3, 3, 2, 2, 0, -0.7
243, 0, 0, 0, 0, 0, 0.0
244, 1, 1, 9, 1, 3, 0.4
245, 0, 0, 0, 0, 0, 0.0
246, 0, 0, 0, 0, 0, 0.0
248, 4, 48, 33, 3, 0, -5.3
249, 2, 1, 7, 2, 0, -0.3
250, 3, 6, 8, 12, 1, 0.2
251, 9, 11, 5, 20, 3, -0.3
252, 9, 3, 8, 1, 6, -0.8
253, 7, 5, 3, 7, 2, -0.8
255, 0, 0, 0, 0, 0, 0.0
256, 12, 100, 141, 123, 35, 6.9
258, 60, 90, 6, 11, 2, -19.5
259, 51, 83, 215, 232, 163, 37.3
263, 0, 0, 0, 0, 0, 0.0
271, 0, 0, 0, 0, 0, 0.0
272, 0, 0, 0, 0, 0, 0.0
274, 0, 0, 0, 0, 0, 0.0
275, 0, 0, 0, 0, 0, 0.0
278, 28, 26, 17, 20, 11, -4.0
279, 19, 4, 4, 11, 3, -2.5
282, 176, 226, 165, 335, 80, -8.3
283, 0, 0, 0, 0, 0, 0.0
284, 0, 0, 0, 0, 0, 0.0
286, 0, 0, 0, 0, 0, 0.0
287, 21, 65, 40, 44, 11, -4.1
288, 340, 293, 200, 372, 138, -32.5
292, 0, 0, 0, 0, 0, 0.0
293, 0, 0, 0, 0, 0, 0.0
