145, 340, 505, 657, 584, 248, -10.5
146, 708, 1392, 3035, 2839, 1384, 279.9
147, 3011, 3148, 4602, 4572, 2063, -47.2
148, 2654, 5105, 4937, 4254, 1761, -263.7
149, 1986, 2192, 1386, 1519, 631, -338.3
150, 2584, 3008, 3843, 3713, 1485, -149.3
151, 4837, 4125, 5487, 5235, 2282, -400.0
152, 2188, 2084, 3049, 2973, 1303, -88.1
153, 847, 696, 1618, 544, 413, -102.0
154, 762, 679, 1264, 1466, 1192, 164.7
155, 888, 1139, 2101, 1501, 703, -0.8
156, 3960, 4467, 4859, 3686, 1068, -656.5
157, 4780, 5643, 6012, 4693, 1480, -755.0
158, 4775, 5418, 6151, 4838, 1431, -726.8
159, 539, 717, 659, 618, 270, -63.7
160, 36, 43, 84, 171, 205, 46.6
161, 121, 88, 125, 28, 21, -26.0
162, 18, 9, 9, 42, 6, 0.9
163, 2109, 2100, 1502, 877, 345, -475.1
164, 2282, 2310, 2734, 2287, 969, -264.9
165, 2527, 1900, 2189, 1896, 577, -390.4
166, 1342, 1260, 1108, 1242, 341, -202.0
167, 3665, 3596, 2749, 2796, 846, -643.8
168, 0, 0, 0, 0, 0, 0.0
169, 192, 132, 117, 45, 16, -43.9
171, 0, 0, 0, 0, 0, 0.0
173, 0, 0, 0, 0, 0, 0.0
174, 0, 0, 0, 0, 0, 0.0
175, 0, 0, 0, 0, 0, 0.0
176, 0, 0, 0, 0, 0, 0.0
177, 0, 0, 0, 0, 0, 0.0
178, 0, 0, 0, 0, 0, 0.0
179, 0, 0, 0, 0, 0, 0.0
180, 0, 0, 1, 1, 0, 0.1
181, 0, 0, 0, 0, 0, 0.0
182, 0, 0, 0, 0, 0, 0.0
183, 0, 0, 0, 1, 0, 0.1
184, 12, 20, 0, 4, 11, -1.8
186, 0, 0, 0, 0, 0, 0.0
187, 0, 0, 0, 0, 0, 0.0
189, 0, 0, 0, 0, 0, 0.0
190, 1, 0, 0, 1, 0, -0.1
191, 2, 1, 0, 0, 0, -0.5
192, 21, 29, 21, 34, 32, 2.7
193, 0, 0, 0, 0, 18, 3.6
194, 2, 0, 20, 50, 67, 18.0
195, 14, 40, 16, 14, 23, -0.8
196, 61, 54, 24, 0, 0, -17.6
198, 1, 0, 0, 1, 0, -0.1
199, 0, 9, 2, 0, 0, -0.9
200, 0, 1, 0, 2, 0, 0.1
201, 0, 0, 0, 0, 1, 0.2
202, 0, 0, 3, 0, 0, 0.0
203, 0, 3, 0, 0, 0, -0.3
204, 0, 0, 0, 4, 0, 0.4
205, 0, 0, 0, 2, 0, 0.2
206, 8, 16, 64, 89, 96, 24.9
207, 4, 0, 36, 9, 0, 0.1
208, 0, 0, 1, 1, 1, 0.3
210, 2, 0, 1, 0, 0, -0.4
211, 1, 0, 0, 0, 0, -0.2
212, 291, 342, 89, 65, 6, -84.7
213, 1, 1, 0, 0, 0, -0.3
214, 0, 0, 9, 0, 0, 0.0
215, 0, 0, 0, 0, 0, 0.0
216, 11, 3, 1, 2, 2, -1.9
219, 35, 36, 18, 25, 5, -7.1
220, 21, 13, 1, 6, 6, -3.7
221, 1, 1, 0, 0, 0, -0.3
222, 5, 1, 3, 1, 0, -1.0
223, 0, 0, 0, 1, 0, 0.1
224, 1, 1, 0, 1, 0, -0.2
225, 41, 4, 3, 14, 8, -5.6
226, 0, 0, 0, 0, 0, 0.0
227, 0, 0, 0, 0, 0, 0.0
228, 111, 11, 67, 81, 36, -8.0
229, 4, 1, 10, 1, 0, -0.8
231, 12, 12, 0, 36, 0, 0.0
232, 159, 101, 118, 216, 135, 6.7
233, 0, 1, 1, 0, 0, -0.1
234, 9, 1, 28, 10, 0, -0.9
235, 229, 185, 217, 181, 153, -15.6
236, 315, 234, 208, 333, 225, -8.1
237, 63, 9, 56, 18, 19, -7.9
239, 9, 11, 1, 10, 21, 2.3
240, 19, 11, 18, 18, 0, -3.1
243, 0, 0, 0, 0, 0, 0.0
244, 1, 9, 41, 1, 11, 1.2
245, 0, 0, 0, 0, 0, 0.0
246, 0, 0, 0, 0, 0, 0.0
248, 28, 328, 241, 19, 0, -36.5
249, 10, 1, 63, 18, 0, -0.3
250, 11, 30, 64, 108, 9, 7.4
251, 9, 35, 21, 164, 19, 14.9
252, 33, 3, 32, 9, 30, 0.0
253, 15, 29, 3, 63, 10, 2.4
255, 0, 0, 0, 0, 0, 0.0
256, 52, 852, 1245, 1067, 307, 72.5
258, 500, 698, 21, 83, 2, -161.1
259, 371, 627, 1895, 2040, 1467, 360.5
263, 0, 0, 0, 0, 0, 0.0
271, 0, 0, 0, 0, 0, 0.0
272, 0, 0, 0, 0, 0, 0.0
274, 0, 0, 0, 0, 0, 0.0
275, 0, 0, 0, 0, 0, 0.0
278, 60, 58, 81, 124, 43, 3.2
279, 91, 12, 20, 75, 19, -8.1
282, 1270, 1073, 1301, 2717, 664, 43.2
283, 0, 0, 0, 0, 0, 0.0
